Esperan�a;0,78906;0,52588
Bakhuysen;0,67456;0,52002
Gondor;0,93311;0,58545
Perseveran�a;0,66528;0,81787
Bradbury;0,40747;0,74365
Nicosia;0,16235;0,50732
Tharsis;0,12964;0,39502
Underhill;0,37891;0,51318
Lakefront;0,69336;0,63818
Temperan�a;0,51343;0,67822
Acheron;0,11353;0,28857
Lowell;0,89453;0,38428
Senzeni Na;0,18921;0,66260
Echus Overlook;0,24194;0,35498
Dumont;0,55737;0,48096
Moria;0,90039;0,70947
Arena;0,68726;0,29248
Burroughs;0,71265;0,37939
Sheffield;0,15894;0,45849
Rowan;0,56567;0,66553
Cairo;0,21606;0,51025
Arrakeen;0,05298;0,48682
Odessa;0,63306;0,67529
